check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,2,45.185833333333335,79.0,74.0,74.0,72.0,75.0,80,84,92.0
2024-04-18,Apartamentos,2,98.68083333333333,97.0,93.0,91.0,91.0,88.0,87,82,80.0
2024-04-23,Apartamentos,2,44.328333333333326,82.0,78.0,72.0,71.0,70.0,81,84,87.0
2024-04-25,Apartamentos,2,82.32333333333332,98.0,91.0,92.0,92.0,86.0,89,83,86.0
2024-04-30,Apartamentos,2,81.63666666666667,92.0,88.0,90.0,89.0,88.0,87,87,85.0
2024-05-02,Apartamentos,2,116.40285714285714,95.55848434925865,97.0,96.0,90.0,94.0,95,94,94.0
2024-05-07,Apartamentos,2,48.302857142857135,79.0,71.62526766595289,75.0,77.0,79.0,77,91,90.0
2024-05-09,Apartamentos,2,74.16285714285713,94.0,86.0,81.98402555910542,82.0,81.0,79,81,80.0
2024-05-14,Apartamentos,2,47.69333333333333,81.0,77.0,72.0,82.25,81.0,79,78,75.0
2024-05-16,Apartamentos,2,74.7047619047619,96.0,89.0,86.0,84.0,87.7948717948718,81,79,72.0
2024-05-21,Apartamentos,2,46.62571428571429,84.0,71.0,71.0,70.0,70.0,70,70,65.0
2024-05-23,Apartamentos,2,68.7,93.0,87.0,84.0,82.0,77.0,80,77,73.0
2024-05-28,Apartamentos,2,49.19728937728937,80.0,75.0,74.0,72.0,71.0,76,73,74.05591054313099
2024-05-30,Apartamentos,2,70.16974358974359,93.0,85.0,85.0,85.0,81.0,73,77,75.0
2024-06-04,Apartamentos,2,48.034166666666664,73.0,69.0,69.0,68.0,67.0,63,62,65.0
2024-06-06,Apartamentos,2,66.79916666666666,93.0,83.0,81.0,77.0,78.0,77,75,74.0
2024-06-11,Apartamentos,2,46.598333333333336,72.0,69.0,69.0,69.0,69.0,64,63,59.0
2024-06-13,Apartamentos,2,63.291666666666664,90.0,77.0,78.0,73.0,71.0,74,72,71.0
